1-A-baseline,2,2707
1-A,0,
1-B,24,
1-C-baseline,22,
1-C,4,
10-A-control,16,
10-A,2,
10-B-control,26,
10-B,36,
10-C-control,12,
10-C,40,
11-A-control,2,
11-A,22,
11-B-control,0,
11-B,0,
11-C-control,62,
11-C,6,
12-A-control,0,
12-A,0,
12-B-control,0,
12-B,0,
12-C-control,0,
12-C,4,
13-A-control,26,
13-A,22,
13-B-control,48,
13-B,44,
13-C-control,20,
13-C,22,
14-A-control,8,
14-A,17,
14-B-control,0,
14-B,0,
14-C-control,2,
14-C,6,
15-A-control,8,
15-A,14,
15-B-control,0,
15-B,20,
15-C-control,2,
15-C,0,
16-A-control,52,
16-A,0,
16-B-control,6,
16-B,2,
16-C-control,0,
16-C,0,
17-A-control,18,
17-A,38,
17-B-control,4,
17-B,40,
17-C-control,71,
17-C,42,
18-A-control,18,
18-A,32,
18-B-control,20,
18-B,10,
18-C-control,16,
18-C,4,
19-A-control,0,
19-A,22,
19-B-control,4,
19-B,8,
19-C-control,26,
19-C,0,
2-A-baseline,0,
2-A,6,
2-B-baseline,16,
2-B,24,
2-C-baseline,2,
2-C,18,
20-A-control,68,
20-A,90,
20-B-control,62,
20-B,44,
20-C-control,24,
20-C,62,
21-A-control,16,
21-A,54,
21-B-control,2,
21-B,12,
21-C-control,22,
21-C,86,
22-A-control,56,
22-A,16,
22-B-control,0,
22-B,10,
22-C-control,24,
22-C,10,
23-A-control,4,
23-A,0,
23-B-control,40,
23-B,0,
23-C-control,0,
23-C,20,
24-A-control,0,
24-A,0,
24-B-control,0,
24-B,0,
24-C-control,20,
24-C,4,
25-A-control,26,
25-A,30,
25-B-control,44,
25-B,24,
25-C-control,0,
25-C,0,
26-A-control,0,
26-A,0,
26-B-control,0,
26-B,4,
26-C-control,6,
26-C,14,
3-A-control,2,
3-A,22,
3-B-control,2,
3-B,12,
3-C-control,56,
3-C,30,
4-A-control,14,
4-A,4,
4-B-control,4,
4-B,8,
4-C-control,4,
4-C,0,
5-A-control,50,
5-A,6,
5-B-control,56,
5-B,28,
5-C-control,34,
5-C,30,
6-A-baseline,0,
6-A,0,
6-B-baseline,16,
6-B,20,
6-C-control,28,
6-C,9,
7-A-control,4,
7-A,14,
7-B-control,4,
7-B,30,
7-C-control,26,
7-C,36,
8-A-control,32,
8-A,14,
8-B-control,50,
8-B,6,
8-C-control,26,
8-C,72,
9-A-control,0,
9-A,0,
9-B-baseline,0,
9-B,24,
9-C-baseline,2,
9-C,0,